id;date;frais;com_envoi;com_retrait;com_systeme;com_etat
1;2019-10-10;Directives application Home Loan Account;Dam;Practical Fresh Pants;Metal deposit;Producer
2;2019-10-09;red Chips Soap;Home Loan Account;web-readiness;Namibia;Steel zero administration
3;2019-10-10;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;Planner cross-platform access
4;2019-10-10;Nakfa;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Mayotte
5;2019-10-10;Facilitator;Views e-enable Communications;National Awesome sky blue;Tactics;scale interactive generating
6;2019-10-10;mission-critical Faroe Islands Plastic;Car Industrial deliverables;orange Books;magenta monitor 1080p;Unbranded Plastic Tuna Frozen
7;2019-10-09;Investment Account archive Fantastic Plastic Chicken;payment;withdrawal COM;embrace Developer;synthesize Idaho compress
8;2019-10-10;Poland;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships
9;2019-10-09;User-centric;Money Market Account;Salad Web virtual;Refined Squares;maroon
10;2019-10-09;Ghana back-end National;Direct;Profit-focused;Jewelery cutting-edge;Games
